Line_no,Process_Name,Process_Time_0osec,Stack
413,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
414,AHRS,0,1064
415,ADU,8693,2480
416,GPS,6774,2544
417,EMS,7360,3816
418,DIO,93760,848
419,acutator,85867,864
420,CLAW,0,3280
421,annunciator,0,2304
422,FDIR,6347,552
423,test_execuPost_process,0,744
424,telemetry,0,3536
425,data_validation,0,2480
426,
427,state_machine,0,2480
428,ADAHRS,19626,3152
429,Post_process,0,680
430,read_interface,73387,784
431,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=5, FDIR=5, POST=40, Telem=41, Test_Exec=31889, Read_thread = 5
432,AHRS,9706,1064
433,ADU,7947,2480
434,GPS,6933,2544
435,EMS,6773,3816
436,DIO,81653,848
437,acutator,0,864
438,CLAW,0,3280
439,annunciator,0,2304
440,FDIR,5387,552
441,test_execuPost_process,0,744
442,telemetry,754187,3536
443,data_validation,0,2480
444,
445,state_machine,0,2480
446,ADAHRS,18454,3152
447,Post_process,0,680
448,read_interface,304373,784
449,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=6, FDIR=5, POST=40, Telem=39, Test_Exec=31889, Read_thread = 5
450,AHRS,0,1064
451,ADU,8853,2480
452,GPS,6560,2544
453,EMS,44000,3816
454,DIO,80853,848
455,acutator,0,864
456,CLAW,0,3280
457,annunciator,0,2304
458,FDIR,5920,552
459,test_execuPost_process,0,744
460,telemetry,0,3536
461,data_validation,0,2480
462,
463,state_machine,0,2480
464,ADAHRS,49866,3152
465,Post_process,0,680
466,read_interface,252480,784
467,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=4, FDIR=5, POST=40, Telem=39, Test_Exec=31889, Read_thread = 5
468,AHRS,40054,1064
469,ADU,9173,2480
470,GPS,7360,2544
471,EMS,63094,3816
472,DIO,83627,848
473,acutator,0,864
474,CLAW,0,3280
475,annunciator,105920,2304
476,FDIR,15040,552
477,test_execuPost_process,0,744
478,telemetry,0,3536
479,data_validation,0,2480
480,
481,state_machine,0,2480
482,ADAHRS,916694,3152
483,Post_process,11734,680
484,read_interface,169920,784
485,,, ADU=6,AHRS=11,GPS=6, EMS=6, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=6, FDIR=5, POST=41, Telem=39, Test_Exec=31889, Read_thread = 5
486,AHRS,0,1064
487,ADU,9227,2480
488,GPS,6560,2544
489,EMS,63040,3816
490,DIO,79893,848
491,acutator,0,864
492,CLAW,0,3280
493,annunciator,0,2304
494,FDIR,5653,552
495,test_execuPost_process,0,744
496,telemetry,0,3536
497,data_validation,0,2480
498,
499,state_machine,0,2480
500,ADAHRS,18346,3152
501,Post_process,0,680
502,read_interface,172214,784
503,,, ADU=4,AHRS=11,GPS=4, EMS=4, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=4, FDIR=5, POST=41, Telem=39, Test_Exec=31889, Read_thread = 5
504,AHRS,8373,1064
505,ADU,7893,2480
506,GPS,6453,2544
507,EMS,63733,3816
508,DIO,88640,848
509,acutator,0,864
510,CLAW,0,3280
511,annunciator,0,2304
512,FDIR,5387,552
513,test_execuPost_process,0,744
514,telemetry,0,3536
515,data_validation,478933,2480
516,
517,state_machine,478933,2480
518,ADAHRS,18294,3152
519,Post_process,0,680
520,read_interface,172906,784
521,,, ADU=5,AHRS=9,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=6, FDIR=5, POST=41, Telem=39, Test_Exec=31889, Read_thread = 5
522,AHRS,0,1064
523,ADU,9174,2480
524,GPS,7680,2544
525,EMS,2154080,3816
526,DIO,86454,848
527,acutator,0,864
528,CLAW,67360,3280
529,annunciator,0,2304
530,FDIR,6133,552
531,test_execuPost_process,0,744
532,telemetry,0,3536
533,data_validation,0,2480
534,
535,state_machine,0,2480
536,ADAHRS,20373,3152
537,Post_process,0,680
538,read_interface,109920,784
539,,, ADU=5,AHRS=9,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=41, CLAW=40, Data_valid=40, DIO=6, FDIR=5, POST=41, Telem=39, Test_Exec=31889, Read_thread = 5
540,AHRS,51627,1064
541,ADU,8960,2480
542,GPS,7947,2544
543,EMS,7893,3816
544,DIO,81173,848
545,acutator,0,864
546,CLAW,0,3280
547,annunciator,0,2304
